lead_country;Cidade DSC;MICROZONE_COVERED;MICROZONE_NAME;ID Externo;Primeiro Nome;Rank;Endereço;Telefone;Pontuacao_Brand;Hunter;Nome do Lead;Nome da Brand;Brand ID;ID Cidade;URL do Menu;Prioridade;Latitude;Longitude;Source;Category;Status;Reason;Campo Ignorable;Owners name;Owners email;addressType;googlePlaceId;ownersLastName;Coverage;SUB_CLASSIFICATION;STORE_ID
Brasil;Belo Horizonte;1968;MG - BHZ - Belvedere / Vila da Serra;60c72195bb3d586184c64b642057755f600e57e1;gianni belvedere;AAA;rodovia 356 3049; 553132862569;;julio.silva@rappi.com;gianni belvedere;gianni belvedere;-42260393;18;;60.0;-19.9746033;-43.9436579;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1968;MG - BHZ - Belvedere / Vila da Serra;aefad07e97060e1e6b442e98f22a11b1cf8dea8f;pellucci gourmet;AAA;state of minas gerais brazil avenida luiz paulo franco 269 30320 570;553135478937 - 553135478937;;andrea.soares@rappi.com;pellucci gourmet;pellucci gourmet;-29151580;18;;242.0;-19.97574001;-43.94500338;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1968;MG - BHZ - Belvedere / Vila da Serra;b617810b4fcbeff919bed4ca70c72f26d57a8418;di molto;AAA;rua alameda oscar niemeyer 1033 vila da serra state of minas gerais 30668 822 brazil;5531992105369;;rodrigo.piancastelli@rappi.com;di molto;di molto;-17959535;18;;243.0;-19.976048000000002;-43.939823;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1968;MG - BHZ - Belvedere / Vila da Serra;8aeca3cdaf755e6e3db63c27541b5b44459e0c5c;praca de alimentacao;AAA;state of minas gerais brazil bh shopping 30320 900;;;julio.silva@rappi.com;praca de alimentacao;praca de alimentacao;-55189402;18;;244.0;-19.9752;-43.9449;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1968;MG - BHZ - Belvedere / Vila da Serra;904ae3bd626d85d0e436a8c19cb45e7aaca19e19;restaurante barolio;AAA;avenida oscar niemeyer 1033 store 04 b state of minas gerais 34006 065 brazil; 55 31 3786 1359;;andrea.soares@rappi.com;restaurante barolio;barolio;-18219159;18;;245.0;-19.976707;-43.94021;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1968;MG - BHZ - Belvedere / Vila da Serra;ChIJ9csoZ-aXpgAREHcYyxnyZQA;coco bambu conceito bh;AAA;rod br 356 sala ma26abc32a belvedere; 31 3653 1700;;rodrigo.piancastelli@rappi.com;coco bambu conceito bh;coco bambu conceito bh;-89411979;18;;246.0;-19.9749098;-43.9457326;Outbound;189;Approved;Full service;;;;restaurant;ChIJ9csoZ-aXpgAREHcYyxnyZQA;;Si;Diamante;
Brasil;Belo Horizonte;1968;MG - BHZ - Belvedere / Vila da Serra;6d33b458f2c68763bcc81a66a7f2e8fcb0d67591;villaggio pizzeria;AAA;vila da serra;30479800 -  31 99951 3771;;julio.silva@rappi.com;villaggio pizzeria;villaggio pizzeria;-78889400;18;;371.0;-19.975224500000003;-43.938014;Outbound;189;Approved;Full service;;;;restaurant;ChIJnzBuQc6ZpgARMWwT_Sr0E90;;Si;Diamante;
Brasil;Belo Horizonte;1968;MG - BHZ - Belvedere / Vila da Serra;687bf0274bfe590804bb71a1fc92de005b8ffee0;fit prime;AAA;avenida luiz paulo franco;40030053;;andrea.soares@rappi.com;fit prime;fit prime;-84032326;18;;377.0;-19.97443;-43.941635999999995;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1968;MG - BHZ - Belvedere / Vila da Serra;aa00852a63050ebbb19ddf50281b7152b9629b29;mc don;AAA;belvedere;984372276;;rodrigo.piancastelli@rappi.com;mc don;mc don;-55310795;18;;378.0;-19.975896;-43.945175;Outbound;189;Approved;Full service;;;;restaurant;nan;;Si;Diamante;
Brasil;Belo Horizonte;1968;MG - BHZ - Belvedere / Vila da Serra;ed2947464b3e8a26cc01f6bda42f51877a253a31;evs herbalife belvedere gizele duarte;AAA;state of minas gerais brazil avenida luiz paulo franco 345 08 30320 570;(31) 99105-0936;;julio.silva@rappi.com;evs herbalife belvedere gizele duarte;evs herbalife belvedere gizele duarte;-71078136;18;;385.0;-19.9762508;-43.945613;Outbound;189;Approved;Full service;;;;restaurant;ed2947464b3e8a26cc01f6bda42f51877a253a31;;Si;Diamante;
